customer_id,brand,customer_type,sales,customer_profitability
790397,Kiehl's,Non-Promo Customers,172.8,Low Profit
769912,IT Cosmetics,Promo Only Customers,353.5,Profitable
669155,Kiehl's,Partially Promo Customers,203.6,Low Profit
840596,IT Cosmetics,Non-Promo Customers,22,Low Profit
250095,IT Cosmetics,Partially Promo Customers,424.8,Profitable
328778,Kiehl's,Partially Promo Customers,397.79,Profitable
937068,IT Cosmetics,Promo Only Customers,230.3,Low Profit
353711,Kiehl's,Partially Promo Customers,464,Profitable
208722,Kiehl's,Non-Promo Customers,77,Low Profit
397766,IT Cosmetics,Partially Promo Customers,94,Low Profit
981262,Lancome,Partially Promo Customers,69,Low Profit
691698,IT Cosmetics,Promo Only Customers,346.5,Profitable
803966,Lancome,Promo Only Customers,144,Low Profit
318191,Armani ,Non-Promo Customers,366.3,Profitable
333928,IT Cosmetics,Promo Only Customers,176.31,Low Profit
692371,Kiehl's,Non-Promo Customers,163.2,Low Profit
123378,Armani ,Promo Only Customers,61.2,Low Profit
647073,Lancome,Partially Promo Customers,473.35,Profitable
127511,Kiehl's,Partially Promo Customers,122.4,Low Profit
197972,IT Cosmetics,Partially Promo Customers,793.8,Profitable
641569,Kiehl's,Promo Only Customers,62,Low Profit
807063,Armani,Promo Only Customers,212,Low Profit
221873,Armani,Promo Only Customers,199.5,Low Profit
132876,YSL,Non-Promo Customers,114,Low Profit
537402,Armani ,Non-Promo Customers,76.8,Low Profit
828381,YSL,Partially Promo Customers,1012,Profitable
433192,Lancome,Promo Only Customers,69,Low Profit
785390,Armani,Non-Promo Customers,196,Low Profit
917790,Armani ,Promo Only Customers,297,Low Profit
974559,Armani ,Promo Only Customers,163.2,Low Profit
482102,IT Cosmetics,Partially Promo Customers,117,Low Profit
671325,IT Cosmetics,Promo Only Customers,905.91,Profitable
536591,Kiehl's,Non-Promo Customers,42,Low Profit
934091,YSL,Partially Promo Customers,275,Low Profit
322312,Lancome,Partially Promo Customers,77,Low Profit
691870,Armani,Non-Promo Customers,124.5,Low Profit
678510,Lancome,Non-Promo Customers,98,Low Profit
758974,Kiehl's,Promo Only Customers,204,Low Profit
923839,YSL,Non-Promo Customers,238.2,Low Profit
259630,Lancome,Partially Promo Customers,256,Low Profit
692656,Lancome,Promo Only Customers,196.2,Low Profit
902132,IT Cosmetics,Promo Only Customers,166,Low Profit
527645,IT Cosmetics,Non-Promo Customers,404.9,Profitable
874002,Kiehl's,Non-Promo Customers,150,Low Profit
195041,Kiehl's,Non-Promo Customers,278.1,Low Profit
506866,Kiehl's,Partially Promo Customers,126.4,Low Profit
186237,YSL,Non-Promo Customers,226.2,Low Profit
477455,IT Cosmetics,Non-Promo Customers,149.62,Low Profit
504751,Lancome,Promo Only Customers,159.74,Low Profit
310174,Lancome,Partially Promo Customers,68,Low Profit
403295,IT Cosmetics,Non-Promo Customers,656.3,Profitable
561657,Armani ,Non-Promo Customers,357.3,Profitable
177819,Lancome,Partially Promo Customers,146,Low Profit
119726,Lancome,Partially Promo Customers,134.4,Low Profit
446310,Kiehl's,Partially Promo Customers,215.5,Low Profit
788676,IT Cosmetics,Non-Promo Customers,229,Low Profit
203984,IT Cosmetics,Promo Only Customers,62.4,Low Profit
882181,YSL,Partially Promo Customers,152,Low Profit
817207,Lancome,Promo Only Customers,317,Profitable
893448,IT Cosmetics,Promo Only Customers,469.8,Profitable
638707,IT Cosmetics,Promo Only Customers,45,Low Profit
758038,Lancome,Partially Promo Customers,77.5,Low Profit
739186,Lancome,Non-Promo Customers,196.8,Low Profit
780853,IT Cosmetics,Promo Only Customers,119,Low Profit
932263,Lancome,Promo Only Customers,115.2,Low Profit
198943,IT Cosmetics,Partially Promo Customers,72,Low Profit
619238,Armani ,Promo Only Customers,117,Low Profit
305138,Lancome,Non-Promo Customers,506.45,Profitable
100660,Lancome,Non-Promo Customers,485.5,Profitable
809977,Kiehl's,Partially Promo Customers,328,Profitable
124153,IT Cosmetics,Promo Only Customers,156.8,Low Profit
340664,Lancome,Promo Only Customers,148,Low Profit
998214,IT Cosmetics,Partially Promo Customers,238,Low Profit
520519,Lancome,Partially Promo Customers,92,Low Profit
535216,IT Cosmetics,Partially Promo Customers,969.5,Profitable
375909,Lancome,Partially Promo Customers,328.2,Profitable
102401,IT Cosmetics,Promo Only Customers,467.95,Profitable
473998,Kiehl's,Partially Promo Customers,158.4,Low Profit
263429,Armani ,Non-Promo Customers,377,Profitable
813825,IT Cosmetics,Promo Only Customers,141.5,Low Profit
626157,Armani,Non-Promo Customers,409.5,Profitable
165816,YSL,Partially Promo Customers,60.8,Low Profit
312550,IT Cosmetics,Promo Only Customers,3329,High Profit
234713,IT Cosmetics,Non-Promo Customers,39,Low Profit
682571,YSL,Promo Only Customers,72,Low Profit
182343,Lancome,Partially Promo Customers,182.12,Low Profit
946289,Lancome,Promo Only Customers,103.5,Low Profit
141515,Lancome,Promo Only Customers,607.6,Profitable
854654,Lancome,Promo Only Customers,81,Low Profit
422853,Armani,Promo Only Customers,517.2,Profitable
333424,Lancome,Partially Promo Customers,171.5,Low Profit
432553,Lancome,Promo Only Customers,154.1,Low Profit
314835,Kiehl's,Promo Only Customers,333,Profitable
480108,Kiehl's,Non-Promo Customers,315.47,Profitable
302420,YSL,Non-Promo Customers,180.5,Low Profit
451005,Kiehl's,Promo Only Customers,378.82,Profitable
822635,Lancome,Promo Only Customers,319.2,Profitable
172527,IT Cosmetics,Partially Promo Customers,184,Low Profit
352348,Lancome,Partially Promo Customers,81,Low Profit
550283,IT Cosmetics,Promo Only Customers,75,Low Profit
506518,Kiehl's,Partially Promo Customers,54.4,Low Profit
456783,Armani ,Non-Promo Customers,750.5,Profitable
507000,Kiehl's,Promo Only Customers,79,Low Profit
649133,Lancome,Non-Promo Customers,361.95,Profitable
384172,Kiehl's,Promo Only Customers,1932,Profitable
324529,Lancome,Partially Promo Customers,428,Profitable
793346,Armani,Non-Promo Customers,118.1,Low Profit
667699,Kiehl's,Promo Only Customers,51.2,Low Profit
578676,Kiehl's,Promo Only Customers,352.75,Profitable
288240,Armani ,Promo Only Customers,60.8,Low Profit
717304,IT Cosmetics,Non-Promo Customers,193.6,Low Profit
941115,YSL,Non-Promo Customers,108,Low Profit
318855,IT Cosmetics,Promo Only Customers,51.2,Low Profit
567386,Armani,Promo Only Customers,124.8,Low Profit
968848,IT Cosmetics,Promo Only Customers,586.95,Profitable
233041,Lancome,Promo Only Customers,39,Low Profit
852220,IT Cosmetics,Partially Promo Customers,161,Low Profit
408740,YSL,Promo Only Customers,115.2,Low Profit
365217,Lancome,Non-Promo Customers,329,Profitable
385919,Armani ,Non-Promo Customers,24,Low Profit
533570,Lancome,Non-Promo Customers,217.08,Low Profit
958294,Lancome,Partially Promo Customers,548.03,Profitable
224922,Lancome,Promo Only Customers,112.95,Low Profit
112077,Kiehl's,Partially Promo Customers,2012,High Profit
559388,YSL,Promo Only Customers,86.05,Low Profit
630976,Lancome,Partially Promo Customers,249.5,Low Profit
530179,IT Cosmetics,Promo Only Customers,122.42,Low Profit
571041,IT Cosmetics,Partially Promo Customers,16,Low Profit
945992,Lancome,Promo Only Customers,77.6,Low Profit
387210,Lancome,Non-Promo Customers,56,Low Profit
345457,Armani ,Promo Only Customers,120,Low Profit
833196,IT Cosmetics,Promo Only Customers,1472.7,Profitable
656262,Lancome,Non-Promo Customers,43.2,Low Profit
973145,Lancome,Partially Promo Customers,191,Low Profit
578548,Armani,Promo Only Customers,98,Low Profit
975421,Kiehl's,Partially Promo Customers,378.6,Profitable
428099,Kiehl's,Partially Promo Customers,60.8,Low Profit
128931,IT Cosmetics,Promo Only Customers,356.2,Profitable
718196,IT Cosmetics,Promo Only Customers,125,Low Profit
686491,YSL,Promo Only Customers,3232.42,High Profit
828790,IT Cosmetics,Promo Only Customers,1018.3,Profitable
656958,IT Cosmetics,Non-Promo Customers,29,Low Profit
448795,YSL,Non-Promo Customers,150.25,Low Profit
173220,Lancome,Promo Only Customers,91.2,Low Profit
734044,Kiehl's,Non-Promo Customers,493,Profitable
823001,IT Cosmetics,Promo Only Customers,192,Low Profit
742173,Kiehl's,Promo Only Customers,699.2,Profitable
921583,IT Cosmetics,Non-Promo Customers,215,Low Profit
952505,Kiehl's,Non-Promo Customers,4795.27,High Profit
378947,Lancome,Promo Only Customers,36,Low Profit
588595,Lancome,Partially Promo Customers,175,Low Profit
638057,Armani,Promo Only Customers,264.8,Low Profit
447097,Lancome,Promo Only Customers,430,Profitable
536091,Lancome,Promo Only Customers,229.6,Low Profit
184461,YSL,Non-Promo Customers,64,Low Profit
746248,Kiehl's,Partially Promo Customers,234.01,Low Profit
598959,IT Cosmetics,Promo Only Customers,284.62,Low Profit
490539,IT Cosmetics,Partially Promo Customers,89,Low Profit
940402,Armani,Promo Only Customers,86.7,Low Profit
170619,Kiehl's,Non-Promo Customers,210,Low Profit
152511,Kiehl's,Partially Promo Customers,652,Profitable
557948,Kiehl's,Non-Promo Customers,576.5,Profitable
801508,IT Cosmetics,Promo Only Customers,80,Low Profit
521676,Lancome,Non-Promo Customers,72,Low Profit
938823,YSL,Promo Only Customers,145,Low Profit
296476,Kiehl's,Partially Promo Customers,164,Low Profit
536023,Kiehl's,Non-Promo Customers,124.5,Low Profit
903570,Armani ,Promo Only Customers,74,Low Profit
897663,Kiehl's,Promo Only Customers,244.45,Low Profit
417288,YSL,Non-Promo Customers,28,Low Profit
574872,Lancome,Promo Only Customers,38.4,Low Profit
650067,Armani,Non-Promo Customers,455,Profitable
768631,Lancome,Non-Promo Customers,110,Low Profit
706248,IT Cosmetics,Non-Promo Customers,186,Low Profit
695524,Kiehl's,Non-Promo Customers,136.5,Low Profit
600336,Lancome,Partially Promo Customers,88.2,Low Profit
340852,YSL,Promo Only Customers,267,Low Profit
240685,Kiehl's,Promo Only Customers,382,Profitable
688467,IT Cosmetics,Non-Promo Customers,432.2,Profitable
266659,IT Cosmetics,Partially Promo Customers,35,Low Profit
608381,Lancome,Promo Only Customers,159.3,Low Profit
742744,YSL,Non-Promo Customers,64,Low Profit
677243,Kiehl's,Promo Only Customers,716.5,Profitable
982423,YSL,Non-Promo Customers,28.5,Low Profit
987599,Lancome,Promo Only Customers,108,Low Profit
174382,IT Cosmetics,Promo Only Customers,98,Low Profit
683739,YSL,Promo Only Customers,260,Low Profit
356185,Kiehl's,Promo Only Customers,267.99,Low Profit
958909,IT Cosmetics,Partially Promo Customers,42,Low Profit
363311,Kiehl's,Partially Promo Customers,98.5,Low Profit
542075,Kiehl's,Promo Only Customers,495,Profitable
749739,Lancome,Non-Promo Customers,10894.48,High Profit
475041,Lancome,Non-Promo Customers,313.5,Profitable
758950,Lancome,Non-Promo Customers,64,Low Profit
192590,Armani ,Promo Only Customers,638.21,Profitable
755021,Armani,Promo Only Customers,818.5,Profitable
300946,IT Cosmetics,Non-Promo Customers,117,Low Profit
207385,Kiehl's,Promo Only Customers,459.2,Profitable
446294,Lancome,Promo Only Customers,26,Low Profit
165359,Armani ,Non-Promo Customers,172,Low Profit
966287,Armani,Non-Promo Customers,42.5,Low Profit
365339,Kiehl's,Partially Promo Customers,239,Low Profit
342341,YSL,Promo Only Customers,97.2,Low Profit
922601,Kiehl's,Non-Promo Customers,174.98,Low Profit
926489,IT Cosmetics,Partially Promo Customers,62.8,Low Profit
756335,IT Cosmetics,Partially Promo Customers,123.5,Low Profit
233493,Kiehl's,Partially Promo Customers,394.95,Profitable
595398,Lancome,Promo Only Customers,59.2,Low Profit
250645,YSL,Promo Only Customers,75.05,Low Profit
305524,Armani,Promo Only Customers,1130.87,Profitable
388926,Kiehl's,Partially Promo Customers,55,Low Profit
184126,Kiehl's,Non-Promo Customers,306,Profitable
931520,Armani ,Partially Promo Customers,75.2,Low Profit
593629,Kiehl's,Promo Only Customers,853.5,Profitable
476419,Lancome,Partially Promo Customers,166.5,Low Profit
830058,Lancome,Promo Only Customers,64.5,Low Profit
790192,Armani ,Non-Promo Customers,116.8,Low Profit
888144,Lancome,Promo Only Customers,296,Low Profit
281205,Kiehl's,Partially Promo Customers,57.8,Low Profit
544105,Armani,Promo Only Customers,115,Low Profit
928076,IT Cosmetics,Non-Promo Customers,147,Low Profit
333992,Lancome,Promo Only Customers,180.5,Low Profit
278686,YSL,Non-Promo Customers,78.8,Low Profit
372224,Kiehl's,Non-Promo Customers,171,Low Profit
110472,Armani,Promo Only Customers,34.5,Low Profit
473485,IT Cosmetics,Non-Promo Customers,60.8,Low Profit
808445,Lancome,Promo Only Customers,134,Low Profit
304415,Kiehl's,Partially Promo Customers,763.2,Profitable
355943,YSL,Partially Promo Customers,132.5,Low Profit
358727,IT Cosmetics,Promo Only Customers,172,Low Profit
890316,Lancome,Promo Only Customers,384.9,Profitable
615379,Lancome,Non-Promo Customers,60.8,Low Profit
630281,YSL,Non-Promo Customers,154,Low Profit
889348,YSL,Partially Promo Customers,48,Low Profit
896832,Kiehl's,Partially Promo Customers,32,Low Profit
119457,Kiehl's,Partially Promo Customers,26084,High Profit
802485,IT Cosmetics,Promo Only Customers,98,Low Profit
449605,YSL,Promo Only Customers,179.2,Low Profit
133130,Lancome,Promo Only Customers,822.75,Profitable
245590,Armani ,Non-Promo Customers,86.4,Low Profit
177902,Kiehl's,Non-Promo Customers,205,Low Profit
121195,Lancome,Non-Promo Customers,86,Low Profit
129226,Kiehl's,Non-Promo Customers,174.5,Low Profit
876587,IT Cosmetics,Partially Promo Customers,145.1,Low Profit
292399,Lancome,Partially Promo Customers,58.4,Low Profit
500437,Kiehl's,Partially Promo Customers,1072,Profitable
749706,Lancome,Promo Only Customers,36,Low Profit
716877,Kiehl's,Non-Promo Customers,110.4,Low Profit
710921,IT Cosmetics,Promo Only Customers,116,Low Profit
994573,IT Cosmetics,Partially Promo Customers,53,Low Profit
527788,IT Cosmetics,Promo Only Customers,676.82,Profitable
946026,IT Cosmetics,Non-Promo Customers,188,Low Profit
432171,Lancome,Partially Promo Customers,39,Low Profit
410109,Kiehl's,Promo Only Customers,95.4,Low Profit
878184,YSL,Non-Promo Customers,189.2,Low Profit
914715,Kiehl's,Promo Only Customers,148.99,Low Profit
869654,IT Cosmetics,Non-Promo Customers,143,Low Profit
412710,Kiehl's,Non-Promo Customers,105,Low Profit
106825,Lancome,Partially Promo Customers,53.5,Low Profit
871991,Lancome,Non-Promo Customers,300,Profitable
177570,Lancome,Promo Only Customers,86,Low Profit
516773,Lancome,Promo Only Customers,38,Low Profit
682380,IT Cosmetics,Promo Only Customers,86,Low Profit
593358,YSL,Non-Promo Customers,462,Profitable
952818,Lancome,Partially Promo Customers,199.7,Low Profit
551899,IT Cosmetics,Partially Promo Customers,169.5,Low Profit
557353,Kiehl's,Partially Promo Customers,60,Low Profit
199854,IT Cosmetics,Promo Only Customers,123,Low Profit
603895,Armani,Promo Only Customers,128,Low Profit
608906,Armani ,Promo Only Customers,60.8,Low Profit
354012,IT Cosmetics,Promo Only Customers,298.5,Profitable
133754,YSL,Non-Promo Customers,70.2,Low Profit
577210,Lancome,Non-Promo Customers,568,Profitable
247690,YSL,Partially Promo Customers,105.55,Low Profit
345449,IT Cosmetics,Promo Only Customers,2633.6,High Profit
833393,Kiehl's,Promo Only Customers,83.5,Low Profit
265448,YSL,Promo Only Customers,108,Low Profit
442477,Kiehl's,Partially Promo Customers,82.5,Low Profit
504266,Armani,Partially Promo Customers,178.5,Low Profit
411321,IT Cosmetics,Promo Only Customers,153.15,Low Profit
397602,Armani,Promo Only Customers,281.2,Low Profit
586648,YSL,Promo Only Customers,99,Low Profit
109531,Lancome,Non-Promo Customers,80.7,Low Profit
667363,IT Cosmetics,Non-Promo Customers,509.99,Profitable
636377,IT Cosmetics,Partially Promo Customers,358.4,Profitable
262232,IT Cosmetics,Promo Only Customers,203.2,Low Profit
563486,YSL,Promo Only Customers,76,Low Profit
617986,Lancome,Promo Only Customers,74,Low Profit
207528,Kiehl's,Promo Only Customers,111.5,Low Profit
972299,IT Cosmetics,Promo Only Customers,151.3,Low Profit
923495,Kiehl's,Promo Only Customers,112.8,Low Profit
639148,Armani ,Non-Promo Customers,412.8,Profitable
368076,IT Cosmetics,Non-Promo Customers,153,Low Profit
728430,IT Cosmetics,Partially Promo Customers,906,Profitable
849234,Lancome,Promo Only Customers,26.1,Low Profit
525002,YSL,Partially Promo Customers,77,Low Profit
262252,IT Cosmetics,Promo Only Customers,218.4,Low Profit
596469,Armani ,Promo Only Customers,454.8,Profitable
899820,Kiehl's,Promo Only Customers,15.3,Low Profit
892996,Lancome,Promo Only Customers,325,Profitable
397949,YSL,Partially Promo Customers,161.9,Low Profit
467048,Lancome,Non-Promo Customers,117.6,Low Profit
117639,Kiehl's,Non-Promo Customers,74,Low Profit
150896,Kiehl's,Partially Promo Customers,388,Profitable
513422,Armani,Non-Promo Customers,260.5,Low Profit
287510,Lancome,Promo Only Customers,66.5,Low Profit
808435,IT Cosmetics,Promo Only Customers,235.2,Low Profit
807453,Lancome,Partially Promo Customers,865.4,Profitable
177027,IT Cosmetics,Promo Only Customers,114,Low Profit
660413,Kiehl's,Non-Promo Customers,16,Low Profit
883724,Kiehl's,Promo Only Customers,33,Low Profit
943347,Lancome,Partially Promo Customers,122,Low Profit
108341,YSL,Promo Only Customers,269,Low Profit
550393,YSL,Non-Promo Customers,511.7,Profitable
913101,Lancome,Promo Only Customers,104,Low Profit
852205,IT Cosmetics,Non-Promo Customers,42.5,Low Profit
278043,YSL,Promo Only Customers,57,Low Profit
105432,IT Cosmetics,Promo Only Customers,58,Low Profit
941731,Armani,Partially Promo Customers,106,Low Profit
611528,YSL,Promo Only Customers,276.5,Low Profit
612485,YSL,Promo Only Customers,139.5,Low Profit
335139,YSL,Non-Promo Customers,119.2,Low Profit
646777,Kiehl's,Non-Promo Customers,341.82,Profitable
752116,Armani ,Non-Promo Customers,65.2,Low Profit
876494,Lancome,Promo Only Customers,115,Low Profit
554051,IT Cosmetics,Partially Promo Customers,351.5,Profitable
519272,Lancome,Non-Promo Customers,74,Low Profit
132432,IT Cosmetics,Non-Promo Customers,1026.91,Profitable
724097,Kiehl's,Promo Only Customers,240.8,Low Profit
897212,IT Cosmetics,Promo Only Customers,210,Low Profit
623423,IT Cosmetics,Non-Promo Customers,204.5,Low Profit
172825,Kiehl's,Promo Only Customers,417.5,Profitable
634258,Armani,Non-Promo Customers,325.56,Profitable
992531,IT Cosmetics,Non-Promo Customers,161.15,Low Profit
934236,Lancome,Partially Promo Customers,34,Low Profit
782351,Kiehl's,Partially Promo Customers,319,Profitable
532133,IT Cosmetics,Partially Promo Customers,201.75,Low Profit
996792,Lancome,Promo Only Customers,213.5,Low Profit
721294,Armani,Promo Only Customers,102.6,Low Profit
665312,Lancome,Partially Promo Customers,59,Low Profit
697059,Kiehl's,Non-Promo Customers,233,Low Profit
970345,Armani,Partially Promo Customers,2509.61,High Profit
192376,YSL,Non-Promo Customers,251.54,Low Profit
843043,IT Cosmetics,Partially Promo Customers,324.26,Profitable
873031,IT Cosmetics,Non-Promo Customers,133,Low Profit
299567,IT Cosmetics,Promo Only Customers,808.5,Profitable
885973,YSL,Non-Promo Customers,67.5,Low Profit
799184,Armani,Promo Only Customers,51.2,Low Profit
807111,Kiehl's,Partially Promo Customers,122,Low Profit
522585,IT Cosmetics,Promo Only Customers,1187.46,Profitable
839589,Lancome,Partially Promo Customers,145,Low Profit
410082,YSL,Promo Only Customers,38,Low Profit
363718,Kiehl's,Non-Promo Customers,1746.5,Profitable
870978,Lancome,Partially Promo Customers,160.57,Low Profit
987155,Kiehl's,Partially Promo Customers,73.5,Low Profit
829793,Armani ,Non-Promo Customers,922.3,Profitable
956117,Kiehl's,Partially Promo Customers,117.3,Low Profit
760225,Kiehl's,Partially Promo Customers,105,Low Profit
157950,Kiehl's,Non-Promo Customers,94,Low Profit
